Mission,Deployment,Games,Win %,VP,Faction
Take And Hold,Search And Destroy,858,49.65%,79.62,Blood Angels
Take And Hold,Sweeping Engagement,51,60.78%,74.35,Blood Angels
Take And Hold,Tipping Point,899,48.05%,74.69,Blood Angels
Terraform,Crucible Of Battle,683,52.12%,77.91,Blood Angels
Terraform,Dawn Of War,45,48.89%,75.68,Blood Angels
Terraform,Hammer And Anvil,30,53.33%,79.75,Blood Angels
Terraform,Search And Destroy,57,49.12%,72.79,Blood Angels
Terraform,Sweeping Engagement,529,49.53%,81.12,Blood Angels
Terraform,Tipping Point,38,47.37%,73.94,Blood Angels
The Ritual,Crucible Of Battle,14,57.14%,67.38,Blood Angels
The Ritual,Dawn Of War,13,61.54%,58.00,Blood Angels
Burden Of Trust,Crucible Of Battle,10,50.00%,75.00,Chaos Daemons
Burden Of Trust,Dawn Of War,14,64.29%,64.33,Chaos Daemons
Burden Of Trust,Hammer And Anvil,12,58.33%,72.86,Chaos Daemons
Burden Of Trust,Search And Destroy,15,60.00%,65.78,Chaos Daemons
Burden Of Trust,Sweeping Engagement,11,45.45%,72.20,Chaos Daemons
Burden Of Trust,Tipping Point,11,54.55%,75.00,Chaos Daemons
Hidden Supplies,Crucible Of Battle,199,48.74%,76.80,Chaos Daemons
Hidden Supplies,Dawn Of War,20,45.00%,88.11,Chaos Daemons
Hidden Supplies,Hammer And Anvil,166,52.41%,77.40,Chaos Daemons
Hidden Supplies,Search And Destroy,333,55.26%,77.41,Chaos Daemons
Hidden Supplies,Sweeping Engagement,8,75.00%,72.17,Chaos Daemons
Hidden Supplies,Tipping Point,8,37.50%,74.00,Chaos Daemons
Linchpin,Crucible Of Battle,100,58.00%,76.34,Chaos Daemons
Linchpin,Dawn Of War,192,51.04%,73.94,Chaos Daemons
Linchpin,Hammer And Anvil,24,66.67%,68.94,Chaos Daemons
Linchpin,Search And Destroy,392,52.30%,72.72,Chaos Daemons
Linchpin,Sweeping Engagement,23,47.83%,72.91,Chaos Daemons
Linchpin,Tipping Point,387,53.23%,74.48,Chaos Daemons
Purge The Foe,Crucible Of Battle,424,54.25%,81.58,Chaos Daemons
Purge The Foe,Dawn Of War,111,54.95%,78.30,Chaos Daemons
Purge The Foe,Hammer And Anvil,231,59.74%,78.49,Chaos Daemons
Purge The Foe,Search And Destroy,29,55.17%,66.13,Chaos Daemons
Purge The Foe,Sweeping Engagement,15,60.00%,79.44,Chaos Daemons
Purge The Foe,Tipping Point,29,75.86%,84.73,Chaos Daemons
Scorched Earth,Crucible Of Battle,300,54.00%,81.69,Chaos Daemons
Scorched Earth,Dawn Of War,12,58.33%,63.00,Chaos Daemons
Scorched Earth,Hammer And Anvil,18,55.56%,74.10,Chaos Daemons
Scorched Earth,Search And Destroy,249,56.22%,78.40,Chaos Daemons
Scorched Earth,Sweeping Engagement,12,66.67%,58.25,Chaos Daemons
Scorched Earth,Tipping Point,260,56.15%,79.54,Chaos Daemons
Supply Drop,Crucible Of Battle,13,46.15%,69.33,Chaos Daemons
Supply Drop,Dawn Of War,8,62.50%,71.00,Chaos Daemons
Supply Drop,Hammer And Anvil,170,49.41%,66.42,Chaos Daemons
Supply Drop,Search And Destroy,12,50.00%,80.67,Chaos Daemons
Supply Drop,Sweeping Engagement,93,46.24%,70.51,Chaos Daemons
Supply Drop,Tipping Point,203,64.04%,70.84,Chaos Daemons
Take And Hold,Crucible Of Battle,44,47.73%,75.29,Chaos Daemons
Take And Hold,Dawn Of War,52,51.92%,79.63,Chaos Daemons
Take And Hold,Hammer And Anvil,331,51.96%,79.10,Chaos Daemons
Take And Hold,Search And Destroy,446,53.14%,82.74,Chaos Daemons
Take And Hold,Sweeping Engagement,21,47.62%,75.70,Chaos Daemons
Take And Hold,Tipping Point,492,50.61%,81.69,Chaos Daemons
Terraform,Crucible Of Battle,441,54.65%,80.52,Chaos Daemons
Terraform,Dawn Of War,36,47.22%,72.59,Chaos Daemons
Terraform,Hammer And Anvil,21,52.38%,70.55,Chaos Daemons
Terraform,Search And Destroy,30,60.00%,86.00,Chaos Daemons
Terraform,Sweeping Engagement,287,54.70%,81.36,Chaos Daemons
Terraform,Tipping Point,28,50.00%,71.50,Chaos Daemons
The Ritual,Crucible Of Battle,8,50.00%,84.50,Chaos Daemons
The Ritual,Dawn Of War,7,57.14%,66.25,Chaos Daemons
Burden Of Trust,Crucible Of Battle,23,69.57%,70.88,Chaos Knights
Burden Of Trust,Dawn Of War,28,64.29%,62.39,Chaos Knights
Burden Of Trust,Hammer And Anvil,19,52.63%,77.90,Chaos Knights
Burden Of Trust,Search And Destroy,25,48.00%,63.67,Chaos Knights
Burden Of Trust,Sweeping Engagement,15,53.33%,64.00,Chaos Knights
Burden Of Trust,Tipping Point,7,28.57%,47.00,Chaos Knights
Hidden Supplies,Crucible Of Battle,341,56.60%,77.65,Chaos Knights
Hidden Supplies,Dawn Of War,26,57.69%,73.27,Chaos Knights
Hidden Supplies,Hammer And Anvil,301,52.82%,76.39,Chaos Knights
Hidden Supplies,Search And Destroy,650,52.00%,78.57,Chaos Knights
Hidden Supplies,Sweeping Engagement,10,60.00%,81.33,Chaos Knights
Hidden Supplies,Tipping Point,17,76.47%,74.54,Chaos Knights
Linchpin,Crucible Of Battle,134,50.00%,79.51,Chaos Knights
Linchpin,Dawn Of War,258,56.59%,73.97,Chaos Knights
Linchpin,Hammer And Anvil,55,54.55%,65.87,Chaos Knights
Linchpin,Search And Destroy,709,56.98%,77.66,Chaos Knights
Linchpin,Sweeping Engagement,38,52.63%,77.15,Chaos Knights
Linchpin,Tipping Point,670,52.09%,73.78,Chaos Knights
Purge The Foe,Crucible Of Battle,785,52.74%,84.21,Chaos Knights
Purge The Foe,Dawn Of War,173,61.27%,78.89,Chaos Knights
Purge The Foe,Hammer And Anvil,376,57.45%,79.25,Chaos Knights
Purge The Foe,Search And Destroy,25,64.00%,77.94,Chaos Knights
Purge The Foe,Sweeping Engagement,24,58.33%,79.57,Chaos Knights
Purge The Foe,Tipping Point,26,50.00%,74.23,Chaos Knights
Scorched Earth,Crucible Of Battle,454,50.44%,80.42,Chaos Knights
Scorched Earth,Dawn Of War,21,57.14%,66.00,Chaos Knights
Scorched Earth,Hammer And Anvil,35,40.00%,63.07,Chaos Knights
Scorched Earth,Search And Destroy,383,53.52%,80.30,Chaos Knights
Scorched Earth,Sweeping Engagement,22,50.00%,76.09,Chaos Knights
Scorched Earth,Tipping Point,488,50.82%,78.02,Chaos Knights
Supply Drop,Crucible Of Battle,24,70.83%,67.29,Chaos Knights
Supply Drop,Dawn Of War,16,62.50%,55.80,Chaos Knights
Supply Drop,Hammer And Anvil,296,60.14%,71.78,Chaos Knights
Supply Drop,Search And Destroy,15,53.33%,74.13,Chaos Knights
Supply Drop,Sweeping Engagement,113,57.52%,69.83,Chaos Knights
Supply Drop,Tipping Point,330,55.45%,72.70,Chaos Knights
Take And Hold,Crucible Of Battle,69,63.77%,79.98,Chaos Knights
Take And Hold,Dawn Of War,58,65.52%,73.61,Chaos Knights
Take And Hold,Hammer And Anvil,494,58.70%,78.46,Chaos Knights
Take And Hold,Search And Destroy,764,54.84%,81.88,Chaos Knights
Take And Hold,Sweeping Engagement,26,76.92%,72.00,Chaos Knights
Take And Hold,Tipping Point,894,56.94%,78.61,Chaos Knights
Terraform,Crucible Of Battle,741,54.12%,80.91,Chaos Knights
Terraform,Dawn Of War,31,38.71%,78.33,Chaos Knights
Terraform,Hammer And Anvil,26,65.38%,65.06,Chaos Knights
Terraform,Search And Destroy,44,59.09%,75.88,Chaos Knights
Terraform,Sweeping Engagement,483,54.87%,80.72,Chaos Knights
Terraform,Tipping Point,31,58.06%,79.67,Chaos Knights
The Ritual,Crucible Of Battle,8,62.50%,68.40,Chaos Knights
The Ritual,Dawn Of War,6,83.33%,73.60,Chaos Knights
Burden Of Trust,Crucible Of Battle,27,33.33%,67.89,Chaos Space Marines
Burden Of Trust,Dawn Of War,23,39.13%,61.67,Chaos Space Marines
Burden Of Trust,Hammer And Anvil,27,40.74%,50.18,Chaos Space Marines
Burden Of Trust,Search And Destroy,31,58.06%,67.67,Chaos Space Marines
Burden Of Trust,Sweeping Engagement,23,43.48%,60.90,Chaos Space Marines
Burden Of Trust,Tipping Point,19,42.11%,48.50,Chaos Space Marines
Hidden Supplies,Crucible Of Battle,251,51.79%,67.82,Chaos Space Marines
Hidden Supplies,Dawn Of War,36,44.44%,73.00,Chaos Space Marines
Hidden Supplies,Hammer And Anvil,283,42.40%,71.54,Chaos Space Marines
Hidden Supplies,Search And Destroy,550,52.36%,75.16,Chaos Space Marines
Hidden Supplies,Sweeping Engagement,18,33.33%,66.50,Chaos Space Marines
Hidden Supplies,Tipping Point,23,30.43%,77.14,Chaos Space Marines
Linchpin,Crucible Of Battle,137,45.26%,73.19,Chaos Space Marines
Linchpin,Dawn Of War,333,45.65%,71.53,Chaos Space Marines
Linchpin,Hammer And Anvil,54,46.30%,64.20,Chaos Space Marines
Linchpin,Search And Destroy,583,45.97%,72.06,Chaos Space Marines
Linchpin,Sweeping Engagement,33,36.36%,61.83,Chaos Space Marines
Linchpin,Tipping Point,572,45.10%,68.98,Chaos Space Marines
Purge The Foe,Crucible Of Battle,652,46.47%,79.14,Chaos Space Marines
Purge The Foe,Dawn Of War,204,39.71%,74.53,Chaos Space Marines
Purge The Foe,Hammer And Anvil,373,48.53%,77.90,Chaos Space Marines
Purge The Foe,Search And Destroy,62,35.48%,73.36,Chaos Space Marines
Purge The Foe,Sweeping Engagement,30,40.00%,74.25,Chaos Space Marines
Purge The Foe,Tipping Point,38,36.84%,68.43,Chaos Space Marines
Scorched Earth,Crucible Of Battle,384,40.89%,77.24,Chaos Space Marines
Scorched Earth,Dawn Of War,37,40.54%,72.13,Chaos Space Marines
Scorched Earth,Hammer And Anvil,32,56.25%,71.50,Chaos Space Marines
Scorched Earth,Search And Destroy,320,41.88%,76.53,Chaos Space Marines
Scorched Earth,Sweeping Engagement,26,61.54%,71.81,Chaos Space Marines
Scorched Earth,Tipping Point,381,49.61%,75.39,Chaos Space Marines
Supply Drop,Crucible Of Battle,27,51.85%,63.71,Chaos Space Marines
Supply Drop,Dawn Of War,28,46.43%,57.00,Chaos Space Marines
Supply Drop,Hammer And Anvil,251,41.83%,65.50,Chaos Space Marines
Supply Drop,Search And Destroy,27,55.56%,49.07,Chaos Space Marines
Supply Drop,Sweeping Engagement,136,41.91%,64.72,Chaos Space Marines
Supply Drop,Tipping Point,291,48.11%,67.56,Chaos Space Marines
Take And Hold,Crucible Of Battle,59,37.29%,71.45,Chaos Space Marines
Take And Hold,Dawn Of War,101,33.66%,70.56,Chaos Space Marines
Take And Hold,Hammer And Anvil,466,45.92%,75.02,Chaos Space Marines
Take And Hold,Search And Destroy,638,48.43%,77.85,Chaos Space Marines
Take And Hold,Sweeping Engagement,36,30.56%,63.55,Chaos Space Marines
Take And Hold,Tipping Point,742,46.77%,76.54,Chaos Space Marines
Terraform,Crucible Of Battle,572,45.28%,73.32,Chaos Space Marines
Terraform,Dawn Of War,42,35.71%,72.80,Chaos Space Marines
Terraform,Hammer And Anvil,27,48.15%,62.31,Chaos Space Marines
Terraform,Search And Destroy,45,42.22%,58.68,Chaos Space Marines
Terraform,Sweeping Engagement,483,44.51%,76.93,Chaos Space Marines
Terraform,Tipping Point,66,50.00%,73.39,Chaos Space Marines
The Ritual,Crucible Of Battle,13,30.77%,80.75,Chaos Space Marines
The Ritual,Dawn Of War,14,42.86%,54.67,Chaos Space Marines
Burden Of Trust,Crucible Of Battle,42,50.00%,63.62,Dark Angels
Burden Of Trust,Dawn Of War,37,40.54%,59.40,Dark Angels
Burden Of Trust,Hammer And Anvil,25,40.00%,43.90,Dark Angels
Burden Of Trust,Search And Destroy,32,43.75%,61.29,Dark Angels
Burden Of Trust,Sweeping Engagement,17,47.06%,55.00,Dark Angels
Burden Of Trust,Tipping Point,23,56.52%,54.85,Dark Angels
Hidden Supplies,Crucible Of Battle,305,49.18%,71.03,Dark Angels
Hidden Supplies,Dawn Of War,32,40.63%,68.46,Dark Angels
Hidden Supplies,Hammer And Anvil,335,51.94%,74.55,Dark Angels
Hidden Supplies,Search And Destroy,614,46.09%,74.89,Dark Angels
Hidden Supplies,Sweeping Engagement,18,44.44%,49.13,Dark Angels
Hidden Supplies,Tipping Point,33,57.58%,74.53,Dark Angels
Linchpin,Crucible Of Battle,138,57.25%,72.41,Dark Angels
Linchpin,Dawn Of War,411,50.12%,68.61,Dark Angels
Linchpin,Hammer And Anvil,52,46.15%,60.54,Dark Angels
Linchpin,Search And Destroy,677,47.42%,71.64,Dark Angels
Linchpin,Sweeping Engagement,27,66.67%,67.00,Dark Angels
Linchpin,Tipping Point,654,46.48%,72.15,Dark Angels
Purge The Foe,Crucible Of Battle,810,48.02%,78.98,Dark Angels
Purge The Foe,Dawn Of War,250,49.60%,73.66,Dark Angels
Purge The Foe,Hammer And Anvil,536,51.49%,75.02,Dark Angels
Purge The Foe,Search And Destroy,64,64.06%,72.78,Dark Angels
Purge The Foe,Sweeping Engagement,40,67.50%,75.63,Dark Angels
Purge The Foe,Tipping Point,62,53.23%,76.24,Dark Angels
Scorched Earth,Crucible Of Battle,474,45.99%,78.30,Dark Angels
Scorched Earth,Dawn Of War,50,34.00%,82.94,Dark Angels
Scorched Earth,Hammer And Anvil,34,47.06%,62.50,Dark Angels
Scorched Earth,Search And Destroy,424,50.47%,75.38,Dark Angels
Scorched Earth,Sweeping Engagement,20,45.00%,70.56,Dark Angels
Scorched Earth,Tipping Point,512,47.46%,75.21,Dark Angels
Supply Drop,Crucible Of Battle,40,50.00%,55.75,Dark Angels
Supply Drop,Dawn Of War,40,47.50%,66.47,Dark Angels
Supply Drop,Hammer And Anvil,373,48.53%,64.57,Dark Angels
Supply Drop,Search And Destroy,32,28.13%,66.67,Dark Angels
Supply Drop,Sweeping Engagement,192,54.69%,64.97,Dark Angels
Supply Drop,Tipping Point,364,48.08%,68.27,Dark Angels
Take And Hold,Crucible Of Battle,101,57.43%,74.83,Dark Angels
Take And Hold,Dawn Of War,138,49.28%,64.60,Dark Angels
Take And Hold,Hammer And Anvil,655,49.92%,73.47,Dark Angels
Take And Hold,Search And Destroy,842,51.54%,79.29,Dark Angels
Take And Hold,Sweeping Engagement,51,43.14%,78.55,Dark Angels
Take And Hold,Tipping Point,1060,47.45%,75.40,Dark Angels
Terraform,Crucible Of Battle,672,47.17%,75.68,Dark Angels
Terraform,Dawn Of War,57,45.61%,70.62,Dark Angels
Terraform,Hammer And Anvil,31,48.39%,54.67,Dark Angels
Terraform,Search And Destroy,54,42.59%,64.78,Dark Angels
Terraform,Sweeping Engagement,543,49.54%,76.96,Dark Angels
Terraform,Tipping Point,46,56.52%,73.54,Dark Angels
The Ritual,Crucible Of Battle,15,40.00%,57.17,Dark Angels
The Ritual,Dawn Of War,10,60.00%,72.17,Dark Angels
Burden Of Trust,Crucible Of Battle,47,59.57%,66.07,Death Guard
Burden Of Trust,Dawn Of War,63,50.79%,64.50,Death Guard
Burden Of Trust,Hammer And Anvil,55,58.18%,66.56,Death Guard
Burden Of Trust,Search And Destroy,43,37.21%,67.94,Death Guard
Burden Of Trust,Sweeping Engagement,33,48.48%,58.06,Death Guard
Burden Of Trust,Tipping Point,34,67.65%,68.22,Death Guard
Hidden Supplies,Crucible Of Battle,534,54.31%,74.65,Death Guard
Hidden Supplies,Dawn Of War,36,52.78%,70.58,Death Guard
Hidden Supplies,Hammer And Anvil,467,59.31%,76.53,Death Guard
Hidden Supplies,Search And Destroy,1027,56.96%,77.70,Death Guard
Hidden Supplies,Sweeping Engagement,24,50.00%,65.75,Death Guard
Hidden Supplies,Tipping Point,41,43.90%,73.67,Death Guard
Linchpin,Crucible Of Battle,174,54.60%,73.74,Death Guard
Linchpin,Dawn Of War,564,49.82%,71.99,Death Guard
Linchpin,Hammer And Anvil,75,64.00%,68.79,Death Guard
Linchpin,Search And Destroy,1070,54.11%,75.79,Death Guard
Linchpin,Sweeping Engagement,47,51.06%,66.83,Death Guard
Linchpin,Tipping Point,1097,53.24%,73.92,Death Guard
Purge The Foe,Crucible Of Battle,1349,54.04%,81.86,Death Guard
Purge The Foe,Dawn Of War,357,54.90%,76.29,Death Guard
Purge The Foe,Hammer And Anvil,703,50.92%,77.33,Death Guard
Purge The Foe,Search And Destroy,72,58.33%,78.45,Death Guard
Purge The Foe,Sweeping Engagement,61,54.10%,72.67,Death Guard
Purge The Foe,Tipping Point,65,50.77%,77.03,Death Guard
Scorched Earth,Crucible Of Battle,733,55.93%,75.30,Death Guard
Scorched Earth,Dawn Of War,39,46.15%,65.83,Death Guard
Scorched Earth,Hammer And Anvil,58,48.28%,69.79,Death Guard
Scorched Earth,Search And Destroy,668,53.44%,78.91,Death Guard
Scorched Earth,Sweeping Engagement,30,46.67%,68.86,Death Guard
Scorched Earth,Tipping Point,754,54.24%,80.75,Death Guard
Supply Drop,Crucible Of Battle,48,56.25%,61.37,Death Guard
Supply Drop,Dawn Of War,40,52.50%,64.76,Death Guard
Supply Drop,Hammer And Anvil,474,59.70%,68.13,Death Guard
Supply Drop,Search And Destroy,37,70.27%,65.12,Death Guard
Supply Drop,Sweeping Engagement,253,49.80%,67.41,Death Guard
Supply Drop,Tipping Point,593,54.47%,68.24,Death Guard
Take And Hold,Crucible Of Battle,133,48.87%,75.77,Death Guard
Take And Hold,Dawn Of War,161,52.17%,72.06,Death Guard
Take And Hold,Hammer And Anvil,876,55.37%,77.03,Death Guard
Take And Hold,Search And Destroy,1307,54.32%,80.95,Death Guard
Take And Hold,Sweeping Engagement,59,50.85%,77.37,Death Guard
Take And Hold,Tipping Point,1332,52.78%,79.77,Death Guard
Terraform,Crucible Of Battle,1195,53.72%,78.73,Death Guard
Terraform,Dawn Of War,47,61.70%,76.31,Death Guard
Terraform,Hammer And Anvil,45,60.00%,64.37,Death Guard
Terraform,Search And Destroy,57,49.12%,73.07,Death Guard
Terraform,Sweeping Engagement,779,52.50%,81.17,Death Guard
Terraform,Tipping Point,54,50.00%,76.22,Death Guard
The Ritual,Crucible Of Battle,31,51.61%,76.75,Death Guard
The Ritual,Dawn Of War,19,73.68%,68.21,Death Guard
Burden Of Trust,Crucible Of Battle,4,50.00%,74.00,Deathwatch
Burden Of Trust,Dawn Of War,4,25.00%,65.00,Deathwatch
Burden Of Trust,Hammer And Anvil,3,33.33%,76.00,Deathwatch
Burden Of Trust,Search And Destroy,4,25.00%,65.00,Deathwatch
Burden Of Trust,Sweeping Engagement,3,66.67%,56.50,Deathwatch
Burden Of Trust,Tipping Point,1,0.00%,0.00,Deathwatch
Hidden Supplies,Crucible Of Battle,50,34.00%,75.47,Deathwatch
Hidden Supplies,Dawn Of War,4,75.00%,49.67,Deathwatch
Hidden Supplies,Hammer And Anvil,44,27.27%,70.92,Deathwatch
Hidden Supplies,Search And Destroy,100,49.00%,71.20,Deathwatch
Hidden Supplies,Sweeping Engagement,2,50.00%,40.00,Deathwatch
Hidden Supplies,Tipping Point,4,25.00%,82.00,Deathwatch
Linchpin,Crucible Of Battle,12,33.33%,68.25,Deathwatch
Linchpin,Dawn Of War,61,49.18%,69.77,Deathwatch
Linchpin,Hammer And Anvil,6,16.67%,38.00,Deathwatch
Linchpin,Search And Destroy,129,46.51%,71.85,Deathwatch
Linchpin,Sweeping Engagement,3,0.00%,0.00,Deathwatch
Linchpin,Tipping Point,89,56.18%,75.14,Deathwatch
Purge The Foe,Crucible Of Battle,133,54.89%,81.04,Deathwatch
Purge The Foe,Dawn Of War,41,56.10%,74.74,Deathwatch
Purge The Foe,Hammer And Anvil,96,47.92%,80.50,Deathwatch
Purge The Foe,Search And Destroy,8,62.50%,78.40,Deathwatch
Purge The Foe,Sweeping Engagement,5,20.00%,88.00,Deathwatch
Purge The Foe,Tipping Point,8,75.00%,62.17,Deathwatch
Scorched Earth,Crucible Of Battle,72,50.00%,74.94,Deathwatch
Scorched Earth,Dawn Of War,8,62.50%,81.20,Deathwatch
Scorched Earth,Hammer And Anvil,4,50.00%,67.50,Deathwatch
Scorched Earth,Search And Destroy,57,52.63%,69.77,Deathwatch
Scorched Earth,Sweeping Engagement,4,25.00%,87.00,Deathwatch
Scorched Earth,Tipping Point,78,47.44%,74.57,Deathwatch
Supply Drop,Crucible Of Battle,5,0.00%,0.00,Deathwatch
Supply Drop,Dawn Of War,7,28.57%,41.00,Deathwatch
Supply Drop,Hammer And Anvil,55,27.27%,63.67,Deathwatch
Supply Drop,Search And Destroy,2,0.00%,0.00,Deathwatch
Supply Drop,Sweeping Engagement,34,50.00%,64.12,Deathwatch
Supply Drop,Tipping Point,71,50.70%,70.31,Deathwatch
Take And Hold,Crucible Of Battle,23,60.87%,78.71,Deathwatch
Take And Hold,Dawn Of War,17,52.94%,73.11,Deathwatch
Take And Hold,Hammer And Anvil,93,41.94%,79.18,Deathwatch
Take And Hold,Search And Destroy,145,47.59%,80.67,Deathwatch
Take And Hold,Sweeping Engagement,2,50.00%,75.00,Deathwatch
Take And Hold,Tipping Point,149,58.39%,77.32,Deathwatch
Terraform,Crucible Of Battle,120,46.67%,78.23,Deathwatch
Terraform,Dawn Of War,11,54.55%,85.50,Deathwatch
Terraform,Hammer And Anvil,6,66.67%,59.25,Deathwatch
Terraform,Search And Destroy,5,60.00%,71.00,Deathwatch
Terraform,Sweeping Engagement,88,40.91%,76.67,Deathwatch
Terraform,Tipping Point,7,71.43%,81.40,Deathwatch
The Ritual,Crucible Of Battle,5,0.00%,0.00,Deathwatch
The Ritual,Dawn Of War,1,0.00%,0.00,Deathwatch
Burden Of Trust,Crucible Of Battle,17,41.18%,73.71,Drukhari
Burden Of Trust,Dawn Of War,11,45.45%,70.20,Drukhari
Burden Of Trust,Hammer And Anvil,17,17.65%,71.33,Drukhari
Burden Of Trust,Search And Destroy,12,66.67%,72.63,Drukhari
Burden Of Trust,Sweeping Engagement,5,20.00%,87.00,Drukhari
Burden Of Trust,Tipping Point,8,12.50%,92.00,Drukhari
Hidden Supplies,Crucible Of Battle,166,43.37%,71.51,Drukhari
Hidden Supplies,Dawn Of War,11,45.45%,84.60,Drukhari
Hidden Supplies,Hammer And Anvil,135,57.04%,79.53,Drukhari
Hidden Supplies,Search And Destroy,261,51.34%,75.19,Drukhari
Hidden Supplies,Sweeping Engagement,6,50.00%,76.67,Drukhari
Hidden Supplies,Tipping Point,5,80.00%,83.50,Drukhari
Linchpin,Crucible Of Battle,83,54.22%,74.22,Drukhari
Linchpin,Dawn Of War,155,47.74%,73.46,Drukhari
Linchpin,Hammer And Anvil,23,65.22%,69.27,Drukhari
Linchpin,Search And Destroy,313,53.67%,76.62,Drukhari
Linchpin,Sweeping Engagement,15,40.00%,85.17,Drukhari
Linchpin,Tipping Point,292,51.03%,71.91,Drukhari
Purge The Foe,Crucible Of Battle,302,46.36%,82.30,Drukhari
Purge The Foe,Dawn Of War,90,45.56%,79.46,Drukhari
Purge The Foe,Hammer And Anvil,191,51.31%,80.47,Drukhari
Purge The Foe,Search And Destroy,16,56.25%,74.11,Drukhari
Purge The Foe,Sweeping Engagement,7,57.14%,91.00,Drukhari
Purge The Foe,Tipping Point,20,45.00%,73.67,Drukhari
Scorched Earth,Crucible Of Battle,205,52.20%,80.09,Drukhari
Scorched Earth,Dawn Of War,14,71.43%,78.40,Drukhari
Scorched Earth,Hammer And Anvil,12,66.67%,79.25,Drukhari
Scorched Earth,Search And Destroy,183,52.46%,79.47,Drukhari
Scorched Earth,Sweeping Engagement,14,50.00%,75.29,Drukhari
Scorched Earth,Tipping Point,215,54.42%,77.46,Drukhari
Supply Drop,Crucible Of Battle,13,46.15%,59.33,Drukhari
Supply Drop,Dawn Of War,16,25.00%,62.00,Drukhari
Supply Drop,Hammer And Anvil,137,47.45%,67.94,Drukhari
Supply Drop,Search And Destroy,4,100.00%,46.00,Drukhari
Supply Drop,Sweeping Engagement,71,59.15%,75.02,Drukhari
Supply Drop,Tipping Point,142,57.75%,64.99,Drukhari
Take And Hold,Crucible Of Battle,32,43.75%,77.86,Drukhari
Take And Hold,Dawn Of War,44,56.82%,74.68,Drukhari
Take And Hold,Hammer And Anvil,243,50.21%,76.67,Drukhari
Take And Hold,Search And Destroy,308,54.22%,79.12,Drukhari
