Mission,Deployment,Games,Win %,VP,Faction
Supply Drop,Crucible Of Battle,42,52.38%,60.73,Necrons
Supply Drop,Dawn Of War,43,62.79%,58.48,Necrons
Supply Drop,Hammer And Anvil,419,55.13%,66.18,Necrons
Supply Drop,Search And Destroy,33,57.58%,60.53,Necrons
Supply Drop,Sweeping Engagement,253,54.15%,68.54,Necrons
Supply Drop,Tipping Point,432,48.15%,67.56,Necrons
Take And Hold,Crucible Of Battle,101,43.56%,72.70,Necrons
Take And Hold,Dawn Of War,168,54.17%,69.40,Necrons
Take And Hold,Hammer And Anvil,685,47.01%,74.84,Necrons
Take And Hold,Search And Destroy,1012,49.31%,79.26,Necrons
Take And Hold,Sweeping Engagement,66,59.09%,73.00,Necrons
Take And Hold,Tipping Point,1124,48.40%,75.33,Necrons
Terraform,Crucible Of Battle,905,48.29%,77.22,Necrons
Terraform,Dawn Of War,70,40.00%,77.14,Necrons
Terraform,Hammer And Anvil,52,46.15%,67.38,Necrons
Terraform,Search And Destroy,54,48.15%,70.27,Necrons
Terraform,Sweeping Engagement,675,48.74%,80.11,Necrons
Terraform,Tipping Point,55,52.73%,72.90,Necrons
The Ritual,Crucible Of Battle,20,45.00%,71.44,Necrons
The Ritual,Dawn Of War,16,37.50%,73.00,Necrons
Burden Of Trust,Crucible Of Battle,26,61.54%,63.56,Orks
Burden Of Trust,Dawn Of War,42,57.14%,54.54,Orks
Burden Of Trust,Hammer And Anvil,32,34.38%,67.55,Orks
Burden Of Trust,Search And Destroy,20,45.00%,54.00,Orks
Burden Of Trust,Sweeping Engagement,8,25.00%,76.00,Orks
Burden Of Trust,Tipping Point,26,38.46%,59.70,Orks
Hidden Supplies,Crucible Of Battle,250,44.80%,74.69,Orks
Hidden Supplies,Dawn Of War,25,60.00%,61.00,Orks
Hidden Supplies,Hammer And Anvil,242,45.87%,74.19,Orks
Hidden Supplies,Search And Destroy,465,51.18%,77.77,Orks
Hidden Supplies,Sweeping Engagement,13,61.54%,76.88,Orks
Hidden Supplies,Tipping Point,20,45.00%,62.67,Orks
Linchpin,Crucible Of Battle,114,49.12%,73.38,Orks
Linchpin,Dawn Of War,290,48.97%,72.41,Orks
Linchpin,Hammer And Anvil,40,50.00%,68.60,Orks
Linchpin,Search And Destroy,512,43.55%,73.69,Orks
Linchpin,Sweeping Engagement,25,48.00%,68.92,Orks
Linchpin,Tipping Point,505,46.34%,71.19,Orks
Purge The Foe,Crucible Of Battle,598,42.47%,77.65,Orks
Purge The Foe,Dawn Of War,211,39.81%,72.61,Orks
Purge The Foe,Hammer And Anvil,392,45.92%,73.83,Orks
Purge The Foe,Search And Destroy,43,37.21%,72.06,Orks
Purge The Foe,Sweeping Engagement,33,30.30%,76.80,Orks
Purge The Foe,Tipping Point,56,50.00%,66.54,Orks
Scorched Earth,Crucible Of Battle,387,47.29%,74.15,Orks
Scorched Earth,Dawn Of War,39,41.03%,63.38,Orks
Scorched Earth,Hammer And Anvil,32,31.25%,77.40,Orks
Scorched Earth,Search And Destroy,338,47.63%,75.57,Orks
Scorched Earth,Sweeping Engagement,19,36.84%,60.71,Orks
Scorched Earth,Tipping Point,373,42.63%,76.82,Orks
Supply Drop,Crucible Of Battle,22,36.36%,62.75,Orks
Supply Drop,Dawn Of War,20,45.00%,60.33,Orks
Supply Drop,Hammer And Anvil,260,45.77%,65.88,Orks
Supply Drop,Search And Destroy,32,34.38%,70.27,Orks
Supply Drop,Sweeping Engagement,140,47.14%,70.58,Orks
Supply Drop,Tipping Point,279,42.65%,65.73,Orks
Take And Hold,Crucible Of Battle,74,52.70%,75.59,Orks
Take And Hold,Dawn Of War,98,47.96%,64.34,Orks
Take And Hold,Hammer And Anvil,473,46.51%,73.28,Orks
Take And Hold,Search And Destroy,620,48.71%,78.12,Orks
Take And Hold,Sweeping Engagement,46,47.83%,64.05,Orks
Take And Hold,Tipping Point,789,47.53%,76.38,Orks
Terraform,Crucible Of Battle,528,46.02%,74.05,Orks
Terraform,Dawn Of War,34,47.06%,64.81,Orks
Terraform,Hammer And Anvil,29,37.93%,72.64,Orks
Terraform,Search And Destroy,44,56.82%,75.96,Orks
Terraform,Sweeping Engagement,395,46.84%,79.89,Orks
Terraform,Tipping Point,25,48.00%,80.92,Orks
The Ritual,Crucible Of Battle,18,55.56%,68.70,Orks
The Ritual,Dawn Of War,17,52.94%,78.11,Orks
Burden Of Trust,Crucible Of Battle,59,54.24%,63.44,Space Marines
Burden Of Trust,Dawn Of War,85,52.94%,62.33,Space Marines
Burden Of Trust,Hammer And Anvil,46,45.65%,64.90,Space Marines
Burden Of Trust,Search And Destroy,47,36.17%,64.35,Space Marines
Burden Of Trust,Sweeping Engagement,61,36.07%,58.95,Space Marines
Burden Of Trust,Tipping Point,40,35.00%,66.07,Space Marines
Hidden Supplies,Crucible Of Battle,544,46.51%,71.62,Space Marines
Hidden Supplies,Dawn Of War,50,48.00%,65.13,Space Marines
Hidden Supplies,Hammer And Anvil,475,43.16%,72.63,Space Marines
Hidden Supplies,Search And Destroy,890,44.83%,74.26,Space Marines
Hidden Supplies,Sweeping Engagement,34,52.94%,69.67,Space Marines
Hidden Supplies,Tipping Point,49,48.98%,67.92,Space Marines
Linchpin,Crucible Of Battle,254,46.85%,72.28,Space Marines
Linchpin,Dawn Of War,644,45.96%,67.48,Space Marines
Linchpin,Hammer And Anvil,87,51.72%,65.62,Space Marines
Linchpin,Search And Destroy,1048,49.43%,71.21,Space Marines
Linchpin,Sweeping Engagement,72,48.61%,64.74,Space Marines
Linchpin,Tipping Point,1017,41.99%,70.44,Space Marines
Purge The Foe,Crucible Of Battle,1255,45.18%,79.80,Space Marines
Purge The Foe,Dawn Of War,469,50.11%,73.94,Space Marines
Purge The Foe,Hammer And Anvil,845,45.21%,75.35,Space Marines
Purge The Foe,Search And Destroy,75,45.33%,73.32,Space Marines
Purge The Foe,Sweeping Engagement,74,43.24%,64.81,Space Marines
Purge The Foe,Tipping Point,101,57.43%,74.98,Space Marines
Scorched Earth,Crucible Of Battle,697,46.48%,74.49,Space Marines
Scorched Earth,Dawn Of War,66,48.48%,70.66,Space Marines
Scorched Earth,Hammer And Anvil,49,40.82%,70.05,Space Marines
Scorched Earth,Search And Destroy,620,43.71%,73.23,Space Marines
Scorched Earth,Sweeping Engagement,49,46.94%,79.13,Space Marines
Scorched Earth,Tipping Point,784,44.64%,76.83,Space Marines
Supply Drop,Crucible Of Battle,59,40.68%,67.33,Space Marines
Supply Drop,Dawn Of War,61,52.46%,61.38,Space Marines
Supply Drop,Hammer And Anvil,525,43.43%,63.79,Space Marines
Supply Drop,Search And Destroy,47,61.70%,59.48,Space Marines
Supply Drop,Sweeping Engagement,311,49.84%,69.32,Space Marines
Supply Drop,Tipping Point,545,46.97%,63.79,Space Marines
Take And Hold,Crucible Of Battle,143,45.45%,73.11,Space Marines
Take And Hold,Dawn Of War,238,48.32%,67.53,Space Marines
Take And Hold,Hammer And Anvil,1040,45.00%,72.25,Space Marines
Take And Hold,Search And Destroy,1271,45.55%,77.59,Space Marines
Take And Hold,Sweeping Engagement,99,44.44%,70.07,Space Marines
Take And Hold,Tipping Point,1579,42.94%,73.06,Space Marines
Terraform,Crucible Of Battle,1094,42.96%,75.97,Space Marines
Terraform,Dawn Of War,80,57.50%,72.78,Space Marines
Terraform,Hammer And Anvil,57,50.88%,64.34,Space Marines
Terraform,Search And Destroy,53,41.51%,66.77,Space Marines
Terraform,Sweeping Engagement,781,45.20%,76.13,Space Marines
Terraform,Tipping Point,73,43.84%,74.88,Space Marines
The Ritual,Crucible Of Battle,19,31.58%,67.83,Space Marines
The Ritual,Dawn Of War,26,42.31%,65.18,Space Marines
Burden Of Trust,Crucible Of Battle,20,50.00%,56.00,Space Wolves
Burden Of Trust,Dawn Of War,28,53.57%,54.47,Space Wolves
Burden Of Trust,Hammer And Anvil,21,47.62%,63.20,Space Wolves
Burden Of Trust,Search And Destroy,21,57.14%,71.50,Space Wolves
Burden Of Trust,Sweeping Engagement,23,60.87%,57.50,Space Wolves
Burden Of Trust,Tipping Point,18,44.44%,60.63,Space Wolves
Hidden Supplies,Crucible Of Battle,269,46.84%,70.33,Space Wolves
Hidden Supplies,Dawn Of War,33,51.52%,74.18,Space Wolves
Hidden Supplies,Hammer And Anvil,238,50.84%,75.04,Space Wolves
Hidden Supplies,Search And Destroy,472,44.92%,77.48,Space Wolves
Hidden Supplies,Sweeping Engagement,12,33.33%,64.75,Space Wolves
Hidden Supplies,Tipping Point,17,52.94%,68.22,Space Wolves
Linchpin,Crucible Of Battle,96,48.96%,76.04,Space Wolves
Linchpin,Dawn Of War,292,51.03%,71.49,Space Wolves
Linchpin,Hammer And Anvil,45,51.11%,61.17,Space Wolves
Linchpin,Search And Destroy,527,51.04%,72.88,Space Wolves
Linchpin,Sweeping Engagement,34,44.12%,62.87,Space Wolves
Linchpin,Tipping Point,499,49.70%,71.87,Space Wolves
Purge The Foe,Crucible Of Battle,631,48.02%,80.47,Space Wolves
Purge The Foe,Dawn Of War,224,46.43%,71.78,Space Wolves
Purge The Foe,Hammer And Anvil,385,50.91%,76.95,Space Wolves
Purge The Foe,Search And Destroy,30,50.00%,71.67,Space Wolves
Purge The Foe,Sweeping Engagement,24,58.33%,72.14,Space Wolves
Purge The Foe,Tipping Point,41,56.10%,73.78,Space Wolves
Scorched Earth,Crucible Of Battle,364,53.85%,74.26,Space Wolves
Scorched Earth,Dawn Of War,20,60.00%,76.75,Space Wolves
Scorched Earth,Hammer And Anvil,25,68.00%,76.76,Space Wolves
Scorched Earth,Search And Destroy,351,54.13%,77.69,Space Wolves
Scorched Earth,Sweeping Engagement,11,54.55%,75.00,Space Wolves
Scorched Earth,Tipping Point,383,53.52%,76.34,Space Wolves
Supply Drop,Crucible Of Battle,28,46.43%,58.08,Space Wolves
Supply Drop,Dawn Of War,23,30.43%,57.43,Space Wolves
Supply Drop,Hammer And Anvil,265,59.25%,67.43,Space Wolves
Supply Drop,Search And Destroy,26,50.00%,67.77,Space Wolves
Supply Drop,Sweeping Engagement,157,54.78%,62.01,Space Wolves
Supply Drop,Tipping Point,308,50.65%,67.53,Space Wolves
Take And Hold,Crucible Of Battle,52,57.69%,79.27,Space Wolves
Take And Hold,Dawn Of War,83,60.24%,73.94,Space Wolves
Take And Hold,Hammer And Anvil,457,53.61%,73.07,Space Wolves
Take And Hold,Search And Destroy,583,44.08%,79.32,Space Wolves
Take And Hold,Sweeping Engagement,36,58.33%,73.52,Space Wolves
Take And Hold,Tipping Point,720,51.39%,75.31,Space Wolves
Terraform,Crucible Of Battle,525,51.81%,76.14,Space Wolves
Terraform,Dawn Of War,28,46.43%,68.23,Space Wolves
Terraform,Hammer And Anvil,25,20.00%,64.00,Space Wolves
Terraform,Search And Destroy,25,60.00%,62.53,Space Wolves
Terraform,Sweeping Engagement,366,52.46%,78.55,Space Wolves
Terraform,Tipping Point,33,48.48%,73.25,Space Wolves
The Ritual,Crucible Of Battle,7,57.14%,87.75,Space Wolves
The Ritual,Dawn Of War,11,63.64%,60.43,Space Wolves
Burden Of Trust,Crucible Of Battle,40,47.50%,61.26,T'au
Burden Of Trust,Dawn Of War,38,44.74%,61.24,T'au
Burden Of Trust,Hammer And Anvil,30,50.00%,62.33,T'au
Burden Of Trust,Search And Destroy,26,57.69%,65.00,T'au
Burden Of Trust,Sweeping Engagement,22,45.45%,68.90,T'au
Burden Of Trust,Tipping Point,33,45.45%,59.67,T'au
Hidden Supplies,Crucible Of Battle,333,48.65%,74.41,T'au
Hidden Supplies,Dawn Of War,30,56.67%,69.65,T'au
Hidden Supplies,Hammer And Anvil,284,47.54%,72.07,T'au
Hidden Supplies,Search And Destroy,587,46.85%,76.40,T'au
Hidden Supplies,Sweeping Engagement,15,60.00%,73.78,T'au
Hidden Supplies,Tipping Point,21,47.62%,69.30,T'au
Linchpin,Crucible Of Battle,140,50.00%,75.69,T'au
Linchpin,Dawn Of War,346,48.55%,69.69,T'au
Linchpin,Hammer And Anvil,43,58.14%,66.52,T'au
Linchpin,Search And Destroy,643,46.81%,72.38,T'au
Linchpin,Sweeping Engagement,37,56.76%,64.29,T'au
Linchpin,Tipping Point,659,49.01%,74.26,T'au
Purge The Foe,Crucible Of Battle,782,46.80%,80.95,T'au
Purge The Foe,Dawn Of War,219,43.84%,71.57,T'au
Purge The Foe,Hammer And Anvil,443,39.50%,75.09,T'au
Purge The Foe,Search And Destroy,51,29.41%,77.40,T'au
Purge The Foe,Sweeping Engagement,30,43.33%,72.77,T'au
Purge The Foe,Tipping Point,41,36.59%,72.87,T'au
Scorched Earth,Crucible Of Battle,442,50.90%,77.16,T'au
Scorched Earth,Dawn Of War,35,42.86%,65.00,T'au
Scorched Earth,Hammer And Anvil,28,60.71%,70.47,T'au
Scorched Earth,Search And Destroy,393,43.51%,78.75,T'au
Scorched Earth,Sweeping Engagement,24,62.50%,58.40,T'au
Scorched Earth,Tipping Point,458,49.78%,75.03,T'au
Supply Drop,Crucible Of Battle,29,37.93%,62.91,T'au
Supply Drop,Dawn Of War,36,44.44%,64.19,T'au
Supply Drop,Hammer And Anvil,302,47.35%,66.07,T'au
Supply Drop,Search And Destroy,30,30.00%,57.44,T'au
Supply Drop,Sweeping Engagement,201,41.29%,63.36,T'au
Supply Drop,Tipping Point,339,43.36%,69.08,T'au
Take And Hold,Crucible Of Battle,63,49.21%,78.23,T'au
Take And Hold,Dawn Of War,101,41.58%,72.43,T'au
Take And Hold,Hammer And Anvil,559,45.08%,75.30,T'au
Take And Hold,Search And Destroy,698,49.14%,81.29,T'au
Take And Hold,Sweeping Engagement,28,57.14%,83.25,T'au
Take And Hold,Tipping Point,798,47.24%,78.21,T'au
Terraform,Crucible Of Battle,709,45.70%,76.84,T'au
Terraform,Dawn Of War,53,50.94%,71.67,T'au
Terraform,Hammer And Anvil,37,37.84%,67.00,T'au
Terraform,Search And Destroy,39,48.72%,72.11,T'au
Terraform,Sweeping Engagement,437,46.91%,76.53,T'au
Terraform,Tipping Point,41,46.34%,73.63,T'au
The Ritual,Crucible Of Battle,10,50.00%,65.40,T'au
The Ritual,Dawn Of War,21,42.86%,65.22,T'au
Burden Of Trust,Crucible Of Battle,27,48.15%,60.85,Thousand Sons
Burden Of Trust,Dawn Of War,29,55.17%,58.06,Thousand Sons
Burden Of Trust,Hammer And Anvil,24,70.83%,60.82,Thousand Sons
Burden Of Trust,Search And Destroy,19,47.37%,69.67,Thousand Sons
Burden Of Trust,Sweeping Engagement,20,75.00%,62.00,Thousand Sons
Burden Of Trust,Tipping Point,20,60.00%,66.50,Thousand Sons
Hidden Supplies,Crucible Of Battle,276,46.01%,73.33,Thousand Sons
Hidden Supplies,Dawn Of War,28,46.43%,65.15,Thousand Sons
Hidden Supplies,Hammer And Anvil,256,46.88%,72.47,Thousand Sons
Hidden Supplies,Search And Destroy,470,48.51%,74.77,Thousand Sons
Hidden Supplies,Sweeping Engagement,8,50.00%,60.00,Thousand Sons
Hidden Supplies,Tipping Point,27,40.74%,69.55,Thousand Sons
Linchpin,Crucible Of Battle,124,54.84%,72.84,Thousand Sons
Linchpin,Dawn Of War,324,52.78%,68.87,Thousand Sons
Linchpin,Hammer And Anvil,44,34.09%,66.33,Thousand Sons
Linchpin,Search And Destroy,542,45.57%,72.06,Thousand Sons
Linchpin,Sweeping Engagement,34,44.12%,69.13,Thousand Sons
Linchpin,Tipping Point,569,50.26%,71.36,Thousand Sons
Purge The Foe,Crucible Of Battle,643,50.86%,80.17,Thousand Sons
Purge The Foe,Dawn Of War,191,52.88%,71.09,Thousand Sons
Purge The Foe,Hammer And Anvil,356,59.27%,74.97,Thousand Sons
Purge The Foe,Search And Destroy,34,61.76%,83.67,Thousand Sons
Purge The Foe,Sweeping Engagement,30,40.00%,70.25,Thousand Sons
Purge The Foe,Tipping Point,48,47.92%,67.83,Thousand Sons
Scorched Earth,Crucible Of Battle,398,51.26%,75.82,Thousand Sons
Scorched Earth,Dawn Of War,33,69.70%,64.17,Thousand Sons
Scorched Earth,Hammer And Anvil,24,45.83%,72.27,Thousand Sons
Scorched Earth,Search And Destroy,367,49.59%,78.08,Thousand Sons
Scorched Earth,Sweeping Engagement,18,50.00%,69.44,Thousand Sons
Scorched Earth,Tipping Point,424,53.30%,77.49,Thousand Sons
Supply Drop,Crucible Of Battle,24,58.33%,67.21,Thousand Sons
Supply Drop,Dawn Of War,18,44.44%,51.50,Thousand Sons
Supply Drop,Hammer And Anvil,244,47.13%,64.20,Thousand Sons
Supply Drop,Search And Destroy,22,45.45%,65.60,Thousand Sons
Supply Drop,Sweeping Engagement,139,58.99%,64.65,Thousand Sons
Supply Drop,Tipping Point,275,50.18%,64.58,Thousand Sons
Take And Hold,Crucible Of Battle,66,45.45%,70.30,Thousand Sons
Take And Hold,Dawn Of War,74,48.65%,69.42,Thousand Sons
Take And Hold,Hammer And Anvil,446,49.33%,73.11,Thousand Sons
Take And Hold,Search And Destroy,635,49.13%,77.80,Thousand Sons
Take And Hold,Sweeping Engagement,28,57.14%,80.56,Thousand Sons
Take And Hold,Tipping Point,708,53.11%,77.54,Thousand Sons
Terraform,Crucible Of Battle,634,48.11%,77.71,Thousand Sons
Terraform,Dawn Of War,37,43.24%,67.06,Thousand Sons
Terraform,Hammer And Anvil,30,46.67%,65.71,Thousand Sons
Terraform,Search And Destroy,28,42.86%,67.75,Thousand Sons
Terraform,Sweeping Engagement,403,49.13%,77.42,Thousand Sons
Terraform,Tipping Point,36,58.33%,75.38,Thousand Sons
The Ritual,Crucible Of Battle,14,50.00%,67.29,Thousand Sons
The Ritual,Dawn Of War,4,50.00%,75.00,Thousand Sons
Burden Of Trust,Crucible Of Battle,42,50.00%,68.71,Tyranids
Burden Of Trust,Dawn Of War,45,46.67%,58.81,Tyranids
Burden Of Trust,Hammer And Anvil,52,53.85%,63.61,Tyranids
Burden Of Trust,Search And Destroy,37,59.46%,58.23,Tyranids
Burden Of Trust,Sweeping Engagement,28,53.57%,62.40,Tyranids
Burden Of Trust,Tipping Point,32,50.00%,61.63,Tyranids
Hidden Supplies,Crucible Of Battle,422,52.84%,71.57,Tyranids
Hidden Supplies,Dawn Of War,40,50.00%,66.25,Tyranids
Hidden Supplies,Hammer And Anvil,454,50.88%,72.91,Tyranids
Hidden Supplies,Search And Destroy,723,47.30%,73.14,Tyranids
Hidden Supplies,Sweeping Engagement,28,67.86%,73.26,Tyranids
Hidden Supplies,Tipping Point,39,46.15%,69.83,Tyranids
Linchpin,Crucible Of Battle,168,46.43%,70.36,Tyranids
Linchpin,Dawn Of War,517,50.48%,70.19,Tyranids
Linchpin,Hammer And Anvil,92,50.00%,61.37,Tyranids
Linchpin,Search And Destroy,856,52.22%,73.08,Tyranids
Linchpin,Sweeping Engagement,41,48.78%,73.25,Tyranids
Linchpin,Tipping Point,841,51.37%,72.56,Tyranids
Purge The Foe,Crucible Of Battle,946,45.45%,79.42,Tyranids
Purge The Foe,Dawn Of War,360,45.56%,75.55,Tyranids
Purge The Foe,Hammer And Anvil,557,49.91%,78.53,Tyranids
Purge The Foe,Search And Destroy,69,42.03%,74.79,Tyranids
Purge The Foe,Sweeping Engagement,54,48.15%,75.73,Tyranids
Purge The Foe,Tipping Point,45,44.44%,72.95,Tyranids
Scorched Earth,Crucible Of Battle,573,52.71%,74.71,Tyranids
Scorched Earth,Dawn Of War,47,42.55%,64.55,Tyranids
Scorched Earth,Hammer And Anvil,57,59.65%,74.97,Tyranids
Scorched Earth,Search And Destroy,536,50.56%,76.30,Tyranids
Scorched Earth,Sweeping Engagement,40,35.00%,76.93,Tyranids
Scorched Earth,Tipping Point,619,50.08%,74.83,Tyranids
Supply Drop,Crucible Of Battle,33,51.52%,68.41,Tyranids
Supply Drop,Dawn Of War,44,52.27%,67.57,Tyranids
Supply Drop,Hammer And Anvil,433,47.34%,67.67,Tyranids
Supply Drop,Search And Destroy,53,49.06%,62.58,Tyranids
Supply Drop,Sweeping Engagement,235,48.51%,62.83,Tyranids
Supply Drop,Tipping Point,456,48.46%,67.34,Tyranids
Take And Hold,Crucible Of Battle,116,54.31%,67.27,Tyranids
Take And Hold,Dawn Of War,166,48.19%,69.58,Tyranids
Take And Hold,Hammer And Anvil,798,51.25%,72.34,Tyranids
Take And Hold,Search And Destroy,964,46.37%,80.06,Tyranids
Take And Hold,Sweeping Engagement,64,53.13%,74.76,Tyranids
Take And Hold,Tipping Point,1188,52.19%,75.40,Tyranids
Terraform,Crucible Of Battle,890,53.26%,76.26,Tyranids
Terraform,Dawn Of War,69,59.42%,72.66,Tyranids
Terraform,Hammer And Anvil,59,49.15%,74.52,Tyranids
Terraform,Search And Destroy,68,47.06%,71.34,Tyranids
Terraform,Sweeping Engagement,640,48.13%,77.97,Tyranids
Terraform,Tipping Point,46,47.83%,75.36,Tyranids
The Ritual,Crucible Of Battle,14,57.14%,67.50,Tyranids
The Ritual,Dawn Of War,17,35.29%,72.83,Tyranids
Burden Of Trust,Crucible Of Battle,30,46.67%,75.43,World Eaters
Burden Of Trust,Dawn Of War,35,51.43%,74.44,World Eaters
Burden Of Trust,Hammer And Anvil,33,57.58%,62.47,World Eaters
Burden Of Trust,Search And Destroy,36,58.33%,66.14,World Eaters
Burden Of Trust,Sweeping Engagement,16,75.00%,65.83,World Eaters
Burden Of Trust,Tipping Point,33,60.61%,71.50,World Eaters
Hidden Supplies,Crucible Of Battle,416,53.37%,72.44,World Eaters
Hidden Supplies,Dawn Of War,23,34.78%,68.13,World Eaters
Hidden Supplies,Hammer And Anvil,400,52.25%,74.71,World Eaters
Hidden Supplies,Search And Destroy,788,54.70%,76.52,World Eaters
Hidden Supplies,Sweeping Engagement,21,66.67%,66.36,World Eaters
Hidden Supplies,Tipping Point,28,67.86%,65.79,World Eaters
Linchpin,Crucible Of Battle,198,62.63%,74.66,World Eaters
Linchpin,Dawn Of War,430,52.33%,71.75,World Eaters
Linchpin,Hammer And Anvil,80,53.75%,73.40,World Eaters
Linchpin,Search And Destroy,841,51.96%,74.54,World Eaters
Linchpin,Sweeping Engagement,37,56.76%,71.10,World Eaters
Linchpin,Tipping Point,752,49.60%,73.28,World Eaters
Purge The Foe,Crucible Of Battle,1036,54.54%,81.66,World Eaters
Purge The Foe,Dawn Of War,258,51.55%,74.81,World Eaters
Purge The Foe,Hammer And Anvil,611,52.54%,77.94,World Eaters
Purge The Foe,Search And Destroy,57,57.89%,75.76,World Eaters
Purge The Foe,Sweeping Engagement,34,50.00%,77.06,World Eaters
Purge The Foe,Tipping Point,50,50.00%,81.68,World Eaters
Scorched Earth,Crucible Of Battle,575,48.52%,77.50,World Eaters
Scorched Earth,Dawn Of War,30,50.00%,69.60,World Eaters
Scorched Earth,Hammer And Anvil,31,54.84%,74.94,World Eaters
Scorched Earth,Search And Destroy,504,47.62%,76.65,World Eaters
Scorched Earth,Sweeping Engagement,33,51.52%,70.12,World Eaters
Scorched Earth,Tipping Point,618,49.51%,77.97,World Eaters
Supply Drop,Crucible Of Battle,28,50.00%,65.07,World Eaters
Supply Drop,Dawn Of War,34,55.88%,62.95,World Eaters
Supply Drop,Hammer And Anvil,373,49.87%,67.24,World Eaters
Supply Drop,Search And Destroy,36,52.78%,73.26,World Eaters
Supply Drop,Sweeping Engagement,202,47.03%,67.80,World Eaters
Supply Drop,Tipping Point,430,51.63%,64.97,World Eaters
Take And Hold,Crucible Of Battle,82,43.90%,77.39,World Eaters
Take And Hold,Dawn Of War,107,61.68%,69.11,World Eaters
Take And Hold,Hammer And Anvil,670,51.64%,74.67,World Eaters
Take And Hold,Search And Destroy,943,51.64%,81.93,World Eaters
Take And Hold,Sweeping Engagement,36,41.67%,71.13,World Eaters
Take And Hold,Tipping Point,1176,50.51%,77.29,World Eaters
Terraform,Crucible Of Battle,914,53.28%,78.34,World Eaters
Terraform,Dawn Of War,54,59.26%,68.53,World Eaters
Terraform,Hammer And Anvil,30,53.33%,74.69,World Eaters
Terraform,Search And Destroy,43,51.16%,77.36,World Eaters
Terraform,Sweeping Engagement,664,54.97%,78.51,World Eaters
Terraform,Tipping Point,52,61.54%,74.25,World Eaters
The Ritual,Crucible Of Battle,12,50.00%,65.00,World Eaters
The Ritual,Dawn Of War,8,75.00%,72.17,World Eaters
