Opponent,Games,Wins,Losses,Draws,Win %,col6,Faction
,Adepta Sororitas,104,51,51,2,50.00%,Adepta Sororitas
,Adeptus Custodes,271,124,145,2,46.13%,Adepta Sororitas
,Adeptus Mechanicus,135,64,68,3,48.52%,Adepta Sororitas
,Aeldari,259,123,134,2,47.88%,Adepta Sororitas
,Astra Militarum,253,130,120,3,51.98%,Adepta Sororitas
,Black Templars,162,77,84,1,47.84%,Adepta Sororitas
,Blood Angels,280,132,146,2,47.50%,Adepta Sororitas
,Chaos Daemons,173,96,72,5,56.94%,Adepta Sororitas
,Chaos Knights,256,131,118,7,52.54%,Adepta Sororitas
,Chaos Space Marines,266,154,108,4,58.65%,Adepta Sororitas
,Dark Angels,321,182,134,5,57.48%,Adepta Sororitas
,Death Guard,487,244,238,5,50.62%,Adepta Sororitas
,Deathwatch,35,19,16,0,54.29%,Adepta Sororitas
,Drukhari,150,73,76,1,49.00%,Adepta Sororitas
,Emperor's Children,184,101,81,2,55.43%,Adepta Sororitas
,Genestealer Cults,108,52,55,1,48.61%,Adepta Sororitas
,Grey Knights,171,82,84,5,49.42%,Adepta Sororitas
,Imperial Agents,15,12,3,0,80.00%,Adepta Sororitas
,Imperial Knights,257,125,126,6,49.81%,Adepta Sororitas
,Leagues Of Votann,197,85,109,3,43.91%,Adepta Sororitas
,Necrons,378,165,205,8,44.71%,Adepta Sororitas
,Orks,233,129,101,3,56.01%,Adepta Sororitas
,Space Marines,477,245,225,7,52.10%,Adepta Sororitas
,Space Wolves,204,105,98,1,51.72%,Adepta Sororitas
,T'au,315,142,165,8,46.35%,Adepta Sororitas
,Thousand Sons,226,110,111,5,49.78%,Adepta Sororitas
,Tyranids,326,140,177,9,44.33%,Adepta Sororitas
,World Eaters,317,169,145,3,53.79%,Adepta Sororitas
,Adepta Sororitas,271,145,124,2,53.87%,Adeptus Custodes
,Adeptus Custodes,292,143,143,6,50.00%,Adeptus Custodes
,Adeptus Mechanicus,189,81,102,6,44.44%,Adeptus Custodes
,Aeldari,491,223,262,6,46.03%,Adeptus Custodes
,Astra Militarum,519,291,222,6,56.65%,Adeptus Custodes
,Black Templars,356,180,172,4,51.12%,Adeptus Custodes
,Blood Angels,530,278,246,6,53.02%,Adeptus Custodes
,Chaos Daemons,293,140,150,3,48.29%,Adeptus Custodes
,Chaos Knights,530,272,251,7,51.98%,Adeptus Custodes
,Chaos Space Marines,420,221,194,5,53.21%,Adeptus Custodes
,Dark Angels,601,318,275,8,53.58%,Adeptus Custodes
,Death Guard,850,411,426,13,49.12%,Adeptus Custodes
,Deathwatch,87,49,38,0,56.32%,Adeptus Custodes
,Drukhari,234,100,131,3,43.38%,Adeptus Custodes
,Emperor's Children,387,223,154,10,58.91%,Adeptus Custodes
,Genestealer Cults,157,74,82,1,47.45%,Adeptus Custodes
,Grey Knights,299,137,159,3,46.32%,Adeptus Custodes
,Imperial Agents,31,17,14,0,54.84%,Adeptus Custodes
,Imperial Knights,532,247,277,8,47.18%,Adeptus Custodes
,Leagues Of Votann,305,142,156,7,47.70%,Adeptus Custodes
,Necrons,746,394,340,12,53.62%,Adeptus Custodes
,Orks,432,253,174,5,59.14%,Adeptus Custodes
,Space Marines,854,467,367,20,55.85%,Adeptus Custodes
,Space Wolves,380,255,119,6,67.89%,Adeptus Custodes
,T'au,470,277,186,7,59.68%,Adeptus Custodes
,Thousand Sons,429,198,226,5,46.74%,Adeptus Custodes
,Tyranids,684,376,296,12,55.85%,Adeptus Custodes
,World Eaters,730,359,357,14,50.14%,Adeptus Custodes
,Adepta Sororitas,135,68,64,3,51.48%,Adeptus Mechanicus
,Adeptus Custodes,189,102,81,6,55.56%,Adeptus Mechanicus
,Adeptus Mechanicus,34,15,15,4,50.00%,Adeptus Mechanicus
,Aeldari,200,99,100,1,49.75%,Adeptus Mechanicus
,Astra Militarum,162,84,76,2,52.47%,Adeptus Mechanicus
,Black Templars,148,79,68,1,53.72%,Adeptus Mechanicus
,Blood Angels,194,84,105,5,44.59%,Adeptus Mechanicus
,Chaos Daemons,98,43,50,5,46.43%,Adeptus Mechanicus
,Chaos Knights,158,70,84,4,45.57%,Adeptus Mechanicus
,Chaos Space Marines,163,94,65,4,58.90%,Adeptus Mechanicus
,Dark Angels,189,99,87,3,53.17%,Adeptus Mechanicus
,Death Guard,281,116,161,4,41.99%,Adeptus Mechanicus
,Deathwatch,23,13,10,0,56.52%,Adeptus Mechanicus
,Drukhari,85,31,54,0,36.47%,Adeptus Mechanicus
,Emperor's Children,145,69,74,2,48.28%,Adeptus Mechanicus
,Genestealer Cults,67,27,37,3,42.54%,Adeptus Mechanicus
,Grey Knights,128,64,59,5,51.95%,Adeptus Mechanicus
,Imperial Agents,13,5,8,0,38.46%,Adeptus Mechanicus
,Imperial Knights,162,71,87,4,45.06%,Adeptus Mechanicus
,Leagues Of Votann,134,66,65,3,50.37%,Adeptus Mechanicus
,Necrons,227,103,117,7,46.92%,Adeptus Mechanicus
,Orks,136,62,73,1,45.96%,Adeptus Mechanicus
,Space Marines,297,157,132,8,54.21%,Adeptus Mechanicus
,Space Wolves,126,65,61,0,51.59%,Adeptus Mechanicus
,T'au,160,76,82,2,48.13%,Adeptus Mechanicus
,Thousand Sons,151,74,71,6,50.99%,Adeptus Mechanicus
,Tyranids,233,114,113,6,50.21%,Adeptus Mechanicus
,World Eaters,246,122,122,2,50.00%,Adeptus Mechanicus
,Adepta Sororitas,259,134,123,2,52.12%,Aeldari
,Adeptus Custodes,491,262,223,6,53.97%,Aeldari
,Adeptus Mechanicus,200,100,99,1,50.25%,Aeldari
,Aeldari,356,176,176,4,50.00%,Aeldari
,Astra Militarum,498,264,229,5,53.51%,Aeldari
,Black Templars,314,161,146,7,52.39%,Aeldari
,Blood Angels,498,277,212,9,56.53%,Aeldari
,Chaos Daemons,260,107,148,5,42.12%,Aeldari
,Chaos Knights,414,206,203,5,50.36%,Aeldari
,Chaos Space Marines,377,182,190,5,48.94%,Aeldari
,Dark Angels,460,228,224,8,50.43%,Aeldari
,Death Guard,789,382,395,12,49.18%,Aeldari
,Deathwatch,104,58,44,2,56.73%,Aeldari
,Drukhari,249,122,124,3,49.60%,Aeldari
,Emperor's Children,341,148,183,10,44.87%,Aeldari
,Genestealer Cults,141,55,84,2,39.72%,Aeldari
,Grey Knights,319,147,167,5,46.87%,Aeldari
,Imperial Agents,33,18,15,0,54.55%,Aeldari
,Imperial Knights,433,252,172,9,59.24%,Aeldari
,Leagues Of Votann,344,174,163,7,51.60%,Aeldari
,Necrons,604,287,306,11,48.43%,Aeldari
,Orks,326,161,163,2,49.69%,Aeldari
,Space Marines,715,371,332,12,52.73%,Aeldari
,Space Wolves,381,168,208,5,44.75%,Aeldari
,T'au,434,244,183,7,57.03%,Aeldari
,Thousand Sons,369,148,216,5,40.79%,Aeldari
,Tyranids,603,320,278,5,53.48%,Aeldari
,World Eaters,540,261,275,4,48.70%,Aeldari
,Adepta Sororitas,253,120,130,3,48.02%,Astra Militarum
,Adeptus Custodes,519,222,291,6,43.35%,Astra Militarum
,Adeptus Mechanicus,162,76,84,2,47.53%,Astra Militarum
,Aeldari,498,229,264,5,46.49%,Astra Militarum
,Astra Militarum,362,179,179,4,50.00%,Astra Militarum
,Black Templars,312,129,180,3,41.83%,Astra Militarum
,Blood Angels,494,234,256,4,47.77%,Astra Militarum
,Chaos Daemons,289,122,163,4,42.91%,Astra Militarum
,Chaos Knights,473,186,283,4,39.75%,Astra Militarum
,Chaos Space Marines,391,186,202,3,47.95%,Astra Militarum
,Dark Angels,507,225,265,17,46.06%,Astra Militarum
,Death Guard,801,336,449,16,42.95%,Astra Militarum
,Deathwatch,86,45,38,3,54.07%,Astra Militarum
,Drukhari,178,77,98,3,44.10%,Astra Militarum
,Emperor's Children,319,143,162,14,47.02%,Astra Militarum
,Genestealer Cults,148,52,95,1,35.47%,Astra Militarum
,Grey Knights,268,126,139,3,47.57%,Astra Militarum
,Imperial Agents,26,9,17,0,34.62%,Astra Militarum
,Imperial Knights,467,181,281,5,39.29%,Astra Militarum
,Leagues Of Votann,318,154,159,5,49.21%,Astra Militarum
,Necrons,614,260,346,8,43.00%,Astra Militarum
,Orks,438,207,222,9,48.29%,Astra Militarum
,Space Marines,808,429,364,15,54.02%,Astra Militarum
,Space Wolves,384,158,221,5,41.80%,Astra Militarum
,T'au,491,242,242,7,50.00%,Astra Militarum
,Thousand Sons,428,201,220,7,47.78%,Astra Militarum
,Tyranids,672,313,343,16,47.77%,Astra Militarum
,World Eaters,588,258,317,13,44.98%,Astra Militarum
,Adepta Sororitas,162,84,77,1,52.16%,Black Templars
,Adeptus Custodes,356,172,180,4,48.88%,Black Templars
,Adeptus Mechanicus,148,68,79,1,46.28%,Black Templars
,Aeldari,314,146,161,7,47.61%,Black Templars
,Astra Militarum,312,180,129,3,58.17%,Black Templars
,Black Templars,152,74,74,4,50.00%,Black Templars
,Blood Angels,352,151,198,3,43.32%,Black Templars
,Chaos Daemons,201,94,104,3,47.51%,Black Templars
,Chaos Knights,278,119,153,6,43.88%,Black Templars
,Chaos Space Marines,332,178,150,4,54.22%,Black Templars
,Dark Angels,395,181,210,4,46.33%,Black Templars
,Death Guard,548,265,278,5,48.81%,Black Templars
,Deathwatch,45,23,20,2,53.33%,Black Templars
,Drukhari,141,69,70,2,49.65%,Black Templars
,Emperor's Children,249,136,110,3,55.22%,Black Templars
,Genestealer Cults,110,50,57,3,46.82%,Black Templars
,Grey Knights,211,102,104,5,49.53%,Black Templars
,Imperial Agents,20,10,10,0,50.00%,Black Templars
,Imperial Knights,240,116,124,0,48.33%,Black Templars
,Leagues Of Votann,255,139,112,4,55.29%,Black Templars
,Necrons,416,206,203,7,50.36%,Black Templars
,Orks,314,182,129,3,58.44%,Black Templars
,Space Marines,567,295,258,14,53.26%,Black Templars
,Space Wolves,292,153,137,2,52.74%,Black Templars
,T'au,310,140,164,6,46.13%,Black Templars
,Thousand Sons,270,138,124,8,52.59%,Black Templars
,Tyranids,527,267,250,10,51.61%,Black Templars
,World Eaters,478,213,259,6,45.19%,Black Templars
,Adepta Sororitas,280,146,132,2,52.50%,Blood Angels
,Adeptus Custodes,530,246,278,6,46.98%,Blood Angels
,Adeptus Mechanicus,194,105,84,5,55.41%,Blood Angels
,Aeldari,498,212,277,9,43.47%,Blood Angels
,Astra Militarum,494,256,234,4,52.23%,Blood Angels
,Black Templars,352,198,151,3,56.68%,Blood Angels
,Blood Angels,352,173,173,6,50.00%,Blood Angels
,Chaos Daemons,261,110,141,10,44.06%,Blood Angels
,Chaos Knights,456,193,258,5,42.87%,Blood Angels
,Chaos Space Marines,449,235,206,8,53.23%,Blood Angels
,Dark Angels,604,300,289,15,50.91%,Blood Angels
,Death Guard,767,354,401,12,46.94%,Blood Angels
,Deathwatch,83,36,46,1,43.98%,Blood Angels
,Drukhari,207,103,98,6,51.21%,Blood Angels
,Emperor's Children,389,169,213,7,44.34%,Blood Angels
,Genestealer Cults,177,87,85,5,50.56%,Blood Angels
,Grey Knights,332,169,160,3,51.36%,Blood Angels
,Imperial Agents,21,16,5,0,76.19%,Blood Angels
,Imperial Knights,467,169,288,10,37.26%,Blood Angels
,Leagues Of Votann,293,141,146,6,49.15%,Blood Angels
,Necrons,690,345,330,15,51.09%,Blood Angels
,Orks,403,234,164,5,58.68%,Blood Angels
,Space Marines,822,465,346,11,57.24%,Blood Angels
,Space Wolves,440,236,198,6,54.32%,Blood Angels
,T'au,465,216,241,8,47.31%,Blood Angels
,Thousand Sons,373,169,201,3,45.71%,Blood Angels
,Tyranids,719,337,368,14,47.84%,Blood Angels
,World Eaters,620,276,333,11,45.40%,Blood Angels
,Adepta Sororitas,173,72,96,5,43.06%,Chaos Daemons
,Adeptus Custodes,293,150,140,3,51.71%,Chaos Daemons
,Adeptus Mechanicus,98,50,43,5,53.57%,Chaos Daemons
,Aeldari,260,148,107,5,57.88%,Chaos Daemons
,Astra Militarum,289,163,122,4,57.09%,Chaos Daemons
,Black Templars,201,104,94,3,52.49%,Chaos Daemons
,Blood Angels,261,141,110,10,55.94%,Chaos Daemons
,Chaos Daemons,170,84,84,2,50.00%,Chaos Daemons
,Chaos Knights,272,134,135,3,49.82%,Chaos Daemons
,Chaos Space Marines,236,140,96,0,59.32%,Chaos Daemons
,Dark Angels,264,161,97,6,62.12%,Chaos Daemons
,Death Guard,438,196,233,9,45.78%,Chaos Daemons
,Deathwatch,49,23,25,1,47.96%,Chaos Daemons
,Drukhari,105,64,39,2,61.90%,Chaos Daemons
,Emperor's Children,243,142,98,3,59.05%,Chaos Daemons
,Genestealer Cults,79,34,45,0,43.04%,Chaos Daemons
,Grey Knights,157,85,70,2,54.78%,Chaos Daemons
,Imperial Agents,15,10,5,0,66.67%,Chaos Daemons
,Imperial Knights,319,133,182,4,42.32%,Chaos Daemons
,Leagues Of Votann,196,92,100,4,47.96%,Chaos Daemons
,Necrons,358,208,145,5,58.80%,Chaos Daemons
,Orks,213,114,94,5,54.69%,Chaos Daemons
,Space Marines,383,223,151,9,59.40%,Chaos Daemons
,Space Wolves,200,107,91,2,54.00%,Chaos Daemons
,T'au,250,131,114,5,53.40%,Chaos Daemons
,Thousand Sons,227,122,100,5,54.85%,Chaos Daemons
,Tyranids,387,213,169,5,55.68%,Chaos Daemons
,World Eaters,303,166,127,10,56.44%,Chaos Daemons
,Adepta Sororitas,256,118,131,7,47.46%,Chaos Knights
,Adeptus Custodes,530,251,272,7,48.02%,Chaos Knights
,Adeptus Mechanicus,158,84,70,4,54.43%,Chaos Knights
,Aeldari,414,203,206,5,49.64%,Chaos Knights
,Astra Militarum,473,283,186,4,60.25%,Chaos Knights
,Black Templars,278,153,119,6,56.12%,Chaos Knights
,Blood Angels,456,258,193,5,57.13%,Chaos Knights
,Chaos Daemons,272,135,134,3,50.18%,Chaos Knights
,Chaos Knights,366,178,178,10,50.00%,Chaos Knights
,Chaos Space Marines,400,224,171,5,56.63%,Chaos Knights
,Dark Angels,442,235,199,8,54.07%,Chaos Knights
,Death Guard,849,467,374,8,55.48%,Chaos Knights
,Deathwatch,76,37,38,1,49.34%,Chaos Knights
,Drukhari,185,106,78,1,57.57%,Chaos Knights
,Emperor's Children,345,253,91,1,73.48%,Chaos Knights
,Genestealer Cults,174,82,89,3,47.99%,Chaos Knights
,Grey Knights,266,153,108,5,58.46%,Chaos Knights
,Imperial Agents,22,13,9,0,59.09%,Chaos Knights
,Imperial Knights,683,285,392,6,42.17%,Chaos Knights
,Leagues Of Votann,285,151,131,3,53.51%,Chaos Knights
,Necrons,536,315,214,7,59.42%,Chaos Knights
,Orks,320,160,158,2,50.31%,Chaos Knights
,Space Marines,643,378,255,10,59.56%,Chaos Knights
,Space Wolves,350,170,176,4,49.14%,Chaos Knights
,T'au,469,284,182,3,60.87%,Chaos Knights
,Thousand Sons,388,229,152,7,59.92%,Chaos Knights
,Tyranids,507,308,194,5,61.24%,Chaos Knights
,World Eaters,557,295,252,10,53.86%,Chaos Knights
,Adepta Sororitas,266,108,154,4,41.35%,Chaos Space Marines
,Adeptus Custodes,420,194,221,5,46.79%,Chaos Space Marines
,Adeptus Mechanicus,163,65,94,4,41.10%,Chaos Space Marines
,Aeldari,377,190,182,5,51.06%,Chaos Space Marines
,Astra Militarum,391,202,186,3,52.05%,Chaos Space Marines
,Black Templars,332,150,178,4,45.78%,Chaos Space Marines
,Blood Angels,449,206,235,8,46.77%,Chaos Space Marines
,Chaos Daemons,236,96,140,0,40.68%,Chaos Space Marines
,Chaos Knights,400,171,224,5,43.38%,Chaos Space Marines
,Chaos Space Marines,264,131,131,2,50.00%,Chaos Space Marines
,Dark Angels,503,231,264,8,46.72%,Chaos Space Marines
,Death Guard,684,284,387,13,42.47%,Chaos Space Marines
,Deathwatch,70,28,41,1,40.71%,Chaos Space Marines
,Drukhari,160,66,91,3,42.19%,Chaos Space Marines
,Emperor's Children,322,150,168,4,47.20%,Chaos Space Marines
,Genestealer Cults,122,61,57,4,51.64%,Chaos Space Marines
,Grey Knights,281,141,137,3,50.71%,Chaos Space Marines
,Imperial Agents,29,16,13,0,55.17%,Chaos Space Marines
,Imperial Knights,362,146,212,4,40.88%,Chaos Space Marines
,Leagues Of Votann,264,123,138,3,47.16%,Chaos Space Marines
,Necrons,569,269,291,9,48.07%,Chaos Space Marines
,Orks,306,137,168,1,44.93%,Chaos Space Marines
,Space Marines,768,385,371,12,50.91%,Chaos Space Marines
,Space Wolves,278,110,163,5,40.47%,Chaos Space Marines
,T'au,376,185,184,7,50.13%,Chaos Space Marines
,Thousand Sons,323,140,176,7,44.43%,Chaos Space Marines
,Tyranids,524,220,301,3,42.27%,Chaos Space Marines
,World Eaters,545,201,335,9,37.71%,Chaos Space Marines
,Adepta Sororitas,321,134,182,5,42.52%,Dark Angels
,Adeptus Custodes,601,275,318,8,46.42%,Dark Angels
,Adeptus Mechanicus,189,87,99,3,46.83%,Dark Angels
,Aeldari,460,224,228,8,49.57%,Dark Angels
,Astra Militarum,507,265,225,17,53.94%,Dark Angels
,Black Templars,395,210,181,4,53.67%,Dark Angels
,Blood Angels,604,289,300,15,49.09%,Dark Angels
,Chaos Daemons,264,97,161,6,37.88%,Dark Angels
,Chaos Knights,442,199,235,8,45.93%,Dark Angels
,Chaos Space Marines,503,264,231,8,53.28%,Dark Angels
,Dark Angels,308,150,150,8,50.00%,Dark Angels
,Death Guard,843,353,475,15,42.76%,Dark Angels
,Deathwatch,98,51,44,3,53.57%,Dark Angels
,Drukhari,180,78,96,6,45.00%,Dark Angels
,Emperor's Children,439,224,206,9,52.05%,Dark Angels
,Genestealer Cults,183,81,99,3,45.08%,Dark Angels
,Grey Knights,306,153,149,4,50.65%,Dark Angels
,Imperial Agents,25,13,12,0,52.00%,Dark Angels
,Imperial Knights,484,161,321,2,33.47%,Dark Angels
,Leagues Of Votann,350,199,147,4,57.43%,Dark Angels
,Necrons,672,325,333,14,49.40%,Dark Angels
,Orks,446,232,206,8,52.91%,Dark Angels
,Space Marines,872,483,375,14,56.19%,Dark Angels
,Space Wolves,420,190,223,7,46.07%,Dark Angels
,T'au,502,251,244,7,50.70%,Dark Angels
,Thousand Sons,442,218,216,8,50.23%,Dark Angels
,Tyranids,715,366,337,12,52.03%,Dark Angels
,World Eaters,657,302,345,10,46.73%,Dark Angels
,Adepta Sororitas,487,238,244,5,49.38%,Death Guard
,Adeptus Custodes,850,426,411,13,50.88%,Death Guard
,Adeptus Mechanicus,281,161,116,4,58.01%,Death Guard
,Aeldari,789,395,382,12,50.82%,Death Guard
,Astra Militarum,801,449,336,16,57.05%,Death Guard
,Black Templars,548,278,265,5,51.19%,Death Guard
,Blood Angels,767,401,354,12,53.06%,Death Guard
,Chaos Daemons,438,233,196,9,54.22%,Death Guard
,Chaos Knights,849,374,467,8,44.52%,Death Guard
,Chaos Space Marines,684,387,284,13,57.53%,Death Guard
,Dark Angels,843,475,353,15,57.24%,Death Guard
,Death Guard,646,323,323,0,50.00%,Death Guard
,Deathwatch,134,75,54,5,57.84%,Death Guard
,Drukhari,304,141,159,4,47.04%,Death Guard
,Emperor's Children,610,363,234,13,60.57%,Death Guard
,Genestealer Cults,249,138,106,5,56.43%,Death Guard
,Grey Knights,505,290,206,9,58.32%,Death Guard
,Imperial Agents,30,24,5,1,81.67%,Death Guard
,Imperial Knights,813,381,423,9,47.42%,Death Guard
,Leagues Of Votann,504,280,220,4,55.95%,Death Guard
,Necrons,1112,596,495,21,54.54%,Death Guard
,Orks,566,331,227,8,59.19%,Death Guard
,Space Marines,1177,653,508,16,56.16%,Death Guard
,Space Wolves,620,310,296,14,51.13%,Death Guard
,T'au,716,397,304,15,56.49%,Death Guard
,Thousand Sons,733,421,303,9,58.05%,Death Guard
,Tyranids,998,525,454,19,53.56%,Death Guard
,World Eaters,1013,548,451,14,54.79%,Death Guard
,Adepta Sororitas,35,16,19,0,45.71%,Deathwatch
,Adeptus Custodes,87,38,49,0,43.68%,Deathwatch
,Adeptus Mechanicus,23,10,13,0,43.48%,Deathwatch
,Aeldari,104,44,58,2,43.27%,Deathwatch
,Astra Militarum,86,38,45,3,45.93%,Deathwatch
,Black Templars,45,20,23,2,46.67%,Deathwatch
,Blood Angels,83,46,36,1,56.02%,Deathwatch
,Chaos Daemons,49,25,23,1,52.04%,Deathwatch
,Chaos Knights,76,38,37,1,50.66%,Deathwatch
,Chaos Space Marines,70,41,28,1,59.29%,Deathwatch
,Dark Angels,98,44,51,3,46.43%,Deathwatch
,Death Guard,134,54,75,5,42.16%,Deathwatch
,Deathwatch,4,2,2,0,50.00%,Deathwatch
,Drukhari,35,17,16,2,51.43%,Deathwatch
,Emperor's Children,64,34,29,1,53.91%,Deathwatch
,Genestealer Cults,22,12,9,1,56.82%,Deathwatch
,Grey Knights,39,18,21,0,46.15%,Deathwatch
,Imperial Agents,5,2,3,0,40.00%,Deathwatch
,Imperial Knights,73,39,32,2,54.79%,Deathwatch
,Leagues Of Votann,39,16,22,1,42.31%,Deathwatch
,Necrons,104,46,57,1,44.71%,Deathwatch
,Orks,49,26,23,0,53.06%,Deathwatch
,Space Marines,130,62,64,4,49.23%,Deathwatch
,Space Wolves,96,48,48,0,50.00%,Deathwatch
,T'au,79,37,42,0,46.84%,Deathwatch
,Thousand Sons,56,27,27,2,50.00%,Deathwatch
,Tyranids,107,41,65,1,38.79%,Deathwatch
,World Eaters,102,47,54,1,46.57%,Deathwatch
,Adepta Sororitas,150,76,73,1,51.00%,Drukhari
,Adeptus Custodes,234,131,100,3,56.62%,Drukhari
,Adeptus Mechanicus,85,54,31,0,63.53%,Drukhari
,Aeldari,249,124,122,3,50.40%,Drukhari
,Astra Militarum,178,98,77,3,55.90%,Drukhari
,Black Templars,141,70,69,2,50.35%,Drukhari
,Blood Angels,207,98,103,6,48.79%,Drukhari
,Chaos Daemons,105,39,64,2,38.10%,Drukhari
,Chaos Knights,185,78,106,1,42.43%,Drukhari
,Chaos Space Marines,160,91,66,3,57.81%,Drukhari
,Dark Angels,180,96,78,6,55.00%,Drukhari
,Death Guard,304,159,141,4,52.96%,Drukhari
,Deathwatch,35,16,17,2,48.57%,Drukhari
,Drukhari,46,23,23,0,50.00%,Drukhari
,Emperor's Children,158,74,83,1,47.15%,Drukhari
,Genestealer Cults,71,29,40,2,42.25%,Drukhari
,Grey Knights,118,63,52,3,54.66%,Drukhari
,Imperial Agents,9,4,4,1,50.00%,Drukhari
,Imperial Knights,202,106,94,2,52.97%,Drukhari
,Leagues Of Votann,169,88,78,3,52.96%,Drukhari
,Necrons,278,123,147,8,45.68%,Drukhari
,Orks,193,117,75,1,60.88%,Drukhari
